Year,Month,Monthly_Top10,Sensor_ID,Monthly_Counts,Location,Sensor_Description,Latitude,Longitude
2009,August,0,4,1050461,"{'latitude': '-37.81487988', 'longitude': '144.9660878', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Town Hall (West),-37.81487988,144.9660878
2009,August,1,2,847853,"{'latitude': '-37.81380667', 'longitude': '144.96516719', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Bourke Street Mall (South),-37.81380667,144.96516719
2009,August,2,3,827432,"{'latitude': '-37.81101523', 'longitude': '144.96429485', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Melbourne Central,-37.81101523,144.96429485
2009,August,3,6,721539,"{'latitude': '-37.81911704', 'longitude': '144.96558256', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Flinders Street Station Underpass,-37.81911704,144.96558256
2009,August,4,5,700272,"{'latitude': '-37.81874249', 'longitude': '144.96787656', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Princes Bridge,-37.81874249,144.96787656
2009,August,5,1,560625,"{'latitude': '-37.8134944', 'longitude': '144.96515324', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Bourke Street Mall (North),-37.8134944,144.96515324
2009,August,6,13,540355,"{'latitude': '-37.81239679', 'longitude': '144.95652653', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Flagstaff Station,-37.81239679,144.95652653
2009,August,7,15,539908,"{'latitude': '-37.81064378', 'longitude': '144.96447132', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",State Library,-37.81064378,144.96447132
2009,August,8,16,489810,"{'latitude': '-37.81573423', 'longitude': '144.96521044', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Australia on Collins,-37.81573423,144.96521044
2009,August,9,17,326793,"{'latitude': '-37.81362542', 'longitude': '144.97323592', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Collins Place (South),-37.81362542,144.97323592
2009,December,0,4,1198678,"{'latitude': '-37.81487988', 'longitude': '144.9660878', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Town Hall (West),-37.81487988,144.9660878
